# type  value  stat. err
v4_L  2.8182187228e-03  2.0624248869e-03
v4(Psi2)  3.9272935209e-04  5.1925372378e-03
rho_422  1.3802005741e-01  1.8272126370e+00
chi_422  3.0111718220e+00  3.9791677230e+01
v5_L  nan  nan
v5(Psi23)  -4.3373453838e-03  2.1918225259e-02
rho_523  nan  nan
chi_523  -1.5726232241e+02  7.3850234908e+02
v6_L  -9.4158553887e-03  1.7986454414e-01
v6(Psi2)  1.3390792275e-03  2.1780993217e-01
v6(Psi3)  nan  nan
rho_6222  2.6301574120e-01  4.2781286751e+01
rho_633  nan  nan
chi_6222  5.6689358860e+02  9.2208498765e+04
chi_633  2.3955212271e+02  2.1988024641e+03
