# type  value  stat. err
v4_L  2.5990913823e-02  2.7575552255e-03
v4(Psi2)  1.3748568977e-02  2.5571322559e-03
rho_422  4.6758680901e-01  9.3297392859e-02
chi_422  6.5370275390e-01  1.0769851673e-01
v5_L  1.3126617272e-02  1.8521972953e-03
v5(Psi23)  8.8497597449e-03  1.6312774887e-03
rho_523  5.5900814329e-01  1.1190009858e-01
chi_523  1.2081285179e+00  1.7991536089e-01
v6_L  5.0814692606e-05  6.9029799771e-06
v6(Psi2)  8.8137126143e-04  8.4064425982e-04
v6(Psi3)  3.9957090969e-03  8.3860028099e-04
rho_6222  1.0396116582e-01  9.9433845822e-02
rho_633  4.7130941769e-01  1.0446687274e-01
chi_6222  2.1218691496e-01  2.0072457828e-01
chi_633  8.1769640227e-01  1.0679684694e-01
