# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  1.2567290121e-02  7.9338071224e-03  1.3542272607e-02  9.1343761784e-03
SC_42  1.2657856546e-02  7.9895265889e-03  1.3640253639e-02  9.1989215873e-03
