#correlator  value  value_err
4(24)  4.71659e-01  1.16978e-01
6(23)  -2.45430e-01  2.02339e-01
6(26)  2.36493e-01  1.28922e-01
6(36)  7.42037e-02  8.54287e-02
(235)  9.42900e-02  6.72741e-02
(246)  1.27335e-01  7.58700e-02
(234)  -3.41030e-02  1.11157e-01
