# type  value  stat. err
v4_L  5.9150017442e-04  6.2099824689e-04
v4(Psi2)  9.5140659058e-04  1.8825261731e-04
rho_422  8.4925119769e-01  2.7446015600e-01
chi_422  2.5224464845e+00  4.5216683031e-01
v5_L  nan  nan
v5(Psi23)  1.6518795669e-04  2.4999711376e-04
rho_523  nan  nan
chi_523  4.8991507123e+00  7.3658253392e+00
v6_L  4.3101636802e-06  6.0586030342e-07
v6(Psi2)  2.1782674783e-04  1.7342018920e-04
v6(Psi3)  1.8624970973e-04  2.2921031813e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  2.4618651880e+01  1.9400305866e+01
chi_633  2.3049672850e+01  2.7862114622e+01
