# type  value  stat. err
v4_L  7.3254685903e-04  6.6160624288e-04
v4(Psi2)  1.0719502451e-03  2.2308075482e-04
rho_422  8.2562759013e-01  2.6861112272e-01
chi_422  1.9961538907e+00  3.7905256361e-01
v5_L  nan  nan
v5(Psi23)  4.0766517677e-04  2.2388637139e-04
rho_523  nan  nan
chi_523  9.4758390499e+00  4.9224299366e+00
v6_L  4.9161903860e-06  8.2672297030e-07
v6(Psi2)  1.1939154769e-04  1.6215411334e-04
v6(Psi3)  2.1548809607e-04  3.7292136550e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  7.9720733689e+00  1.0784513587e+01
chi_633  2.1608055481e+01  3.6960601567e+01
