# type  value  stat. err
v4_L  8.0375244562e-03  2.0743692256e-03
v4(Psi2)  9.9883252640e-03  1.2037909618e-03
rho_422  7.7908251671e-01  1.0868965518e-01
chi_422  1.0951082645e+00  7.5261397550e-02
v5_L  4.2718263506e-03  8.1827986979e-04
v5(Psi23)  4.0027805571e-03  6.3670853164e-04
rho_523  6.8375412747e-01  1.1877530783e-01
chi_523  2.0277742868e+00  2.8723535113e-01
v6_L  1.3439044099e-05  2.1239496143e-06
v6(Psi2)  1.6404834737e-03  4.3859032488e-04
v6(Psi3)  1.1823443491e-03  2.7342581111e-04
rho_6222  4.4797027705e-01  1.2657358497e-01
rho_633  3.2286526145e-01  8.0286151219e-02
chi_6222  1.4372173579e+00  3.1276011355e-01
chi_633  1.5023092997e+00  3.2419444867e-01
