#correlator  value  value_err
4(24)  8.58356e-01  1.05466e-01
6(23)  2.37600e-02  2.75998e-01
6(26)  5.87210e-01  4.38976e-01
6(36)  7.68544e-01  1.48545e-01
(235)  6.75604e-01  9.51387e-02
(246)  7.28086e-01  1.75690e-01
(234)  -2.40345e-02  1.57115e-01
