# type  value  stat. err
v4_L  2.1688866507e-02  2.6657063143e-03
v4(Psi2)  1.5456497853e-02  2.4136988464e-03
rho_422  5.8035399469e-01  9.7568065522e-02
chi_422  7.8862437011e-01  7.2652308704e-02
v5_L  1.0395954798e-02  2.0629028607e-03
v5(Psi23)  9.9982046079e-03  1.4491257338e-03
rho_523  6.9318415554e-01  1.1344425093e-01
chi_523  1.7895329614e+00  1.7578519324e-01
v6_L  5.0577904078e-05  1.0670351449e-05
v6(Psi2)  1.6167809030e-03  1.9356347564e-03
v6(Psi3)  4.0839725901e-03  7.8232201955e-04
rho_6222  1.8776282047e-01  2.2519674450e-01
rho_633  4.7428702973e-01  9.7031351333e-02
chi_6222  3.8052844624e-01  4.4872342483e-01
chi_633  9.5438204899e-01  1.1059163036e-01
