#correlator  value  value_err
4(24)  5.86348e-01  1.54773e-01
6(23)  -4.61731e-02  1.56844e-01
6(26)  3.59263e-01  1.85797e-01
6(36)  -2.44197e-01  1.42121e-01
(235)  2.40695e-01  1.25369e-01
(246)  8.70539e-02  1.21057e-01
(234)  1.93980e-01  1.27535e-01
