# type  value  stat. err
v4_L  2.5289276696e-03  5.3022922600e-04
v4(Psi2)  1.5507156846e-03  4.2639464413e-04
rho_422  5.2274037997e-01  1.5956729949e-01
chi_422  9.1161413122e-01  2.1384475128e-01
v5_L  nan  nan
v5(Psi23)  1.4498175138e-04  2.8127073130e-04
rho_523  nan  nan
chi_523  4.2709242709e-01  8.2753591069e-01
v6_L  4.4931458010e-06  8.4480891571e-07
v6(Psi2)  4.7603735142e-04  2.9311619247e-04
v6(Psi3)  -3.8816361119e-04  2.7342329748e-04
rho_6222  inf  inf
rho_633  -inf  inf
chi_6222  4.9645660181e+00  2.8660329551e+00
chi_633  -2.7326136608e+00  1.8923050311e+00
