# type  value  stat. err
v4_L  1.0060597845e-02  7.3967373341e-04
v4(Psi2)  5.8789948059e-03  6.7665180679e-04
rho_422  5.0453121247e-01  6.2595655721e-02
chi_422  6.8991974460e-01  6.8043810902e-02
v5_L  4.6145328593e-03  5.3649013087e-04
v5(Psi23)  3.5572138096e-03  3.8636252828e-04
rho_523  6.1052703061e-01  7.5951243304e-02
chi_523  1.5104594614e+00  1.2935672824e-01
v6_L  1.0528035519e-05  1.3377299038e-06
v6(Psi2)  4.4469561440e-04  1.6518745222e-04
v6(Psi3)  9.6594521619e-04  3.4519602850e-04
rho_6222  1.5085939250e-01  5.7350402414e-02
rho_633  3.2768910640e-01  1.2006427222e-01
chi_6222  4.3516633011e-01  1.5600724608e-01
chi_633  8.9003332880e-01  3.0602404401e-01
