# type  value  stat. err
v4_L  2.6443355685e-03  7.9094559991e-04
v4(Psi2)  2.7150986532e-03  4.9902094619e-04
rho_422  7.1638059741e-01  1.5378790760e-01
chi_422  1.0372483961e+00  1.3472958417e-01
v5_L  7.5740705264e-04  8.0364988930e-04
v5(Psi23)  1.7683448631e-04  4.3562988178e-04
rho_523  2.2735907488e-01  6.0432256823e-01
chi_523  9.7078337715e-01  2.3865757357e+00
v6_L  1.0912040894e-05  2.1129166481e-06
v6(Psi2)  -1.9768958478e-04  2.8395131399e-04
v6(Psi3)  -7.4818556803e-04  9.7763958086e-04
rho_6222  -inf  inf
rho_633  -inf  inf
chi_6222  -1.0509573238e+00  1.4980822160e+00
chi_633  -1.5788548322e+01  1.9922462135e+01
