# type  value  stat. err
v4_L  1.8928079603e-03  4.2428205270e-04
v4(Psi2)  1.3445097075e-03  3.3221535391e-04
rho_422  5.7909831895e-01  1.6004859611e-01
chi_422  1.0509626520e+00  2.2375910192e-01
v5_L  nan  nan
v5(Psi23)  -1.1483662136e-04  2.4243425978e-04
rho_523  nan  nan
chi_523  -1.2518205723e+00  2.6361824704e+00
v6_L  6.5744350131e-06  1.0002868515e-06
v6(Psi2)  -1.2917165627e-05  1.7489501422e-04
v6(Psi3)  -4.3055464387e-04  5.8239783321e-04
rho_6222  -inf  inf
rho_633  -inf  inf
chi_6222  -1.9760161165e-01  2.6752465309e+00
chi_633  -1.6832445226e+01  2.2010433665e+01
