# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -2.4221186657e-01  3.1807203795e+01  2.4086022762e-01  9.2713221873e+00
SC_42  -2.4221165731e-01  3.1806964204e+01  2.4089766793e-01  9.2728606854e+00
