# type  value  stat. err
v4_L  3.4847134358e-03  1.3867985606e-03
v4(Psi2)  1.9112173453e-03  1.2772204381e-03
rho_422  4.8088009182e-01  3.4553486976e-01
chi_422  3.4864733797e+00  2.2876983679e+00
v5_L  1.1034285206e-03  5.2619056942e-03
v5(Psi23)  2.8156709817e-03  1.5575633669e-03
rho_523  9.3105816040e-01  6.4445043448e-01
chi_523  1.8034855192e+01  5.1791316404e+00
v6_L  1.2633552624e-05  1.9489845908e-06
v6(Psi2)  2.7245147749e-04  7.7783488972e-04
v6(Psi3)  9.3011272093e-04  4.6053969077e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  1.6384456188e+01  4.6617659709e+01
chi_633  1.0272603895e+01  1.8381684962e+00
