# type  value  stat. err
v4_L  1.2647761342e-03  4.3677466275e-04
v4(Psi2)  6.1566800970e-04  3.0010068274e-04
rho_422  4.3767927085e-01  2.4243695439e-01
chi_422  3.0910122548e+00  1.4837495443e+00
v5_L  nan  nan
v5(Psi23)  9.4290347042e-04  6.3292776538e-03
rho_523  1.3403313556e+00  9.0714565920e+00
chi_523  2.9283918934e+01  1.9599642834e+02
v6_L  5.5001032446e-06  7.6272347647e-07
v6(Psi2)  5.6908703134e-06  2.0908606777e-04
v6(Psi3)  2.9639457012e-04  4.9982567960e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  1.7080064672e+00  6.2752918406e+01
chi_633  1.4004722600e+01  2.2638491391e+01
