# type  value  stat. err
v4_L  4.7011435036e-03  1.2591590792e-03
v4(Psi2)  7.4182021773e-03  5.3209600407e-04
rho_422  8.4466726986e-01  7.7488919666e-02
chi_422  6.2034466674e-01  2.5392156420e-02
v5_L  2.3012747424e-03  2.6637484410e-04
v5(Psi23)  1.0635826625e-03  2.1426419641e-04
rho_523  4.1953153911e-01  9.2319737588e-02
chi_523  5.0713942473e-01  9.9330925184e-02
v6_L  1.1037990228e-05  7.4957563832e-07
v6(Psi2)  7.7332779100e-05  1.7997173261e-04
v6(Psi3)  -1.0262826702e-04  1.5281620182e-04
rho_6222  6.6085520919e-02  1.5479554500e-01
rho_633  -8.7702040016e-02  1.3265287589e-01
chi_6222  4.5392877170e-02  1.0554490566e-01
chi_633  -1.3619848288e-01  2.0249144835e-01
