# type  value  stat. err
v4_L  2.4009529246e-03  8.1692026935e-04
v4(Psi2)  4.2016729173e-03  2.9706693168e-04
rho_422  8.6824341167e-01  8.3155158838e-02
chi_422  8.0395897681e-01  3.4759917448e-02
v5_L  9.3312172585e-04  2.3896324839e-04
v5(Psi23)  6.8830704178e-04  1.1784911050e-04
rho_523  5.9361463181e-01  1.3689337755e-01
chi_523  8.4402129420e-01  1.3941507440e-01
v6_L  4.3338494932e-06  3.0229209498e-07
v6(Psi2)  1.1185197395e-04  1.3121691442e-04
v6(Psi3)  4.0436631137e-06  1.2023662744e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  2.2989255472e-01  2.6880915200e-01
chi_633  1.5525391743e-02  4.6163932351e-01
