# type  value  stat. err
v4_L  1.5697112436e-03  3.8061525999e-04
v4(Psi2)  5.8760696167e-04  4.5545699315e-04
rho_422  3.5058213360e-01  2.7979473526e-01
chi_422  1.2211126968e+00  8.6850375782e-01
v5_L  6.1097656731e-04  9.1672563795e-04
v5(Psi23)  5.2020549049e-04  7.8427206866e-04
rho_523  6.4828154105e-01  1.0509540828e+00
chi_523  1.1471952075e+01  1.7024339472e+01
v6_L  1.0380659226e-06  1.4531115012e-05
v6(Psi2)  2.3501280541e-04  7.7541493380e-04
v6(Psi3)  4.8182574373e-04  3.2695069217e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  1.3081082483e+01  4.2835744699e+01
chi_633  2.4516845035e+01  1.5241117590e+01
