# type  value  stat. err
v4_L  1.1207847825e-03  3.3094988908e-04
v4(Psi2)  5.5229929108e-04  3.0762918876e-04
rho_422  4.4202433875e-01  2.6331114877e-01
chi_422  1.6650041564e+00  7.7552350453e-01
v5_L  7.3661689356e-04  5.3594141256e-04
v5(Psi23)  4.0112558949e-04  7.1218631801e-04
rho_523  4.7824056185e-01  8.6907017252e-01
chi_523  1.2190286143e+01  2.1383485754e+01
v6_L  4.0101760429e-06  7.4987811410e-06
v6(Psi2)  2.4418380684e-04  5.7351222783e-04
v6(Psi3)  3.3462748663e-04  2.8973038317e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  2.3252851477e+01  5.3809923247e+01
chi_633  2.4507471073e+01  2.0136534729e+01
