# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -1.0115228166e-02  1.5397411311e-02  -9.4906497709e-03  1.3430502705e-02
SC_42  -1.0114807496e-02  1.5396732780e-02  -9.4902518320e-03  1.3429898145e-02
