# type  value  stat. err
v4_L  3.4178369341e-03  5.4803028523e-04
v4(Psi2)  9.4016387890e-04  6.8758272369e-04
rho_422  2.6522433743e-01  1.9748743719e-01
chi_422  9.3649246336e-01  6.2675858735e-01
v5_L  9.0453878304e-04  1.8571714121e-03
v5(Psi23)  1.7729191650e-03  7.6333010578e-04
rho_523  8.9076427207e-01  4.4403719844e-01
chi_523  1.7294864329e+01  5.8721726687e+00
v6_L  -2.9521627778e-05  7.7945727484e-05
v6(Psi2)  3.7423539432e-05  2.3221323513e-04
v6(Psi3)  9.4351166470e-04  5.7982133131e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  7.6970564141e-01  4.7664378897e+00
chi_633  1.6923618267e+01  9.4965250500e+00
