#correlator  value  value_err
4(24)  8.46060e-01  2.44974e-01
6(23)  2.01376e+01  1.23100e+01
6(26)  6.74868e-01  2.85157e-01
6(36)  6.14162e-01  2.49562e-01
(235)  8.85810e-01  3.61475e-01
(246)  3.39538e-01  1.27227e-01
(234)  3.33989e+00  1.57952e+00
