#correlator  value  value_err
4(24)  3.12605e-01  1.53519e-01
6(23)  4.85980e-01  2.41653e-01
6(26)  2.51402e-01  2.24787e-01
6(36)  -7.75198e-02  1.24113e-01
(235)  1.13776e-01  1.10634e-01
(246)  -1.77425e-01  1.14908e-01
(234)  8.41469e-02  1.03014e-01
