# type  value  stat. err
v4_L  3.8391808475e-03  6.1647385928e-04
v4(Psi2)  1.3653273479e-03  4.8831995305e-04
rho_422  3.3507181892e-01  1.2830496293e-01
chi_422  9.1441121921e-01  3.0868631962e-01
v5_L  2.1973067468e-03  6.6002216532e-04
v5(Psi23)  1.0040166934e-03  5.0274802259e-04
rho_523  4.1560006829e-01  2.2952525210e-01
chi_523  2.0947259069e+00  1.0177109339e+00
v6_L  1.3997887631e-05  1.8636953154e-06
v6(Psi2)  4.5535539326e-04  4.1028264436e-04
v6(Psi3)  -9.4156676967e-05  3.5446676742e-04
rho_6222  3.9761947253e-01  4.4855774211e-01
rho_633  -8.2218260254e-02  3.1451438609e-01
chi_6222  5.9997881753e+00  5.3082799806e+00
chi_633  -3.4958129652e-01  1.3153391890e+00
