# type  value  stat. err
v4_L  1.0616407164e-02  7.6788807088e-04
v4(Psi2)  -3.1837436159e-03  8.2766297945e-04
rho_422  -2.8725033170e-01  7.6823106314e-02
chi_422  -2.2928892562e+00  5.6695577269e-01
v5_L  5.0304298933e-03  6.5348639656e-04
v5(Psi23)  3.1856664397e-03  5.6919803468e-04
rho_523  5.3501941812e-01  1.0416557156e-01
chi_523  9.0966857835e+00  1.4769844238e+00
v6_L  1.8821236456e-05  1.8410899179e-06
v6(Psi2)  9.6162480527e-05  5.3526616361e-04
v6(Psi3)  -5.0061236139e-04  3.8635236343e-04
rho_6222  3.8182213287e-02  2.1260341489e-01
rho_633  -1.9877282545e-01  1.5604734135e-01
chi_6222  1.4744829424e+00  8.2053976742e+00
chi_633  -3.2200449189e+00  2.4669317368e+00
