# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  0.0000000000e+00  0.0000000000e+00  5.6378974132e-09  1.6692784749e-08
2  2.6976155687e-02  2.0030649686e-03  -5.2956617493e-07  1.5728786057e-07
3  8.8459980343e-03  9.0267501386e-04  -6.1233256143e-09  2.4993779163e-09
