# type  value  stat. err
v4_L  6.2845478590e-03  4.7747502081e-04
v4(Psi2)  -2.0416595438e-03  5.1782086751e-04
rho_422  -3.0897403486e-01  8.0844682199e-02
chi_422  -1.8118773807e+00  4.3921920074e-01
v5_L  3.1543862223e-03  3.8957230685e-04
v5(Psi23)  1.7130127588e-03  3.7882773085e-04
rho_523  4.7722777801e-01  1.1239264036e-01
chi_523  9.5070501886e+00  1.9150969508e+00
v6_L  7.5307279633e-06  8.8791285194e-07
v6(Psi2)  6.5952394218e-05  2.5854421785e-04
v6(Psi3)  -5.2359309995e-04  2.9550808722e-04
rho_6222  8.0859958691e-02  3.2045429886e-01
rho_633  -6.4194358575e-01  5.2026251397e-01
chi_6222  1.3941250251e+00  5.4629974025e+00
chi_633  -1.0108685176e+01  5.5632998015e+00
