# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  2.7237839519e-01  1.5420275275e+00  5.2017624475e-01  2.7830040542e+00
2  6.6500878543e-01  1.9334839432e-01  6.2134153983e-01  2.0093708150e-01
3  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
