# type  value  stat. err
v4_L  1.0977679114e-03  9.9076499629e-04
v4(Psi2)  1.5129362423e-03  4.5983016779e-04
rho_422  8.0938433963e-01  3.1308189275e-01
chi_422  8.7456719043e-01  2.3495468860e-01
v5_L  3.6312138491e-04  1.4295665945e-03
v5(Psi23)  -5.0604393839e-05  3.1332434234e-04
rho_523  -1.3802558659e-01  1.0070823872e+00
chi_523  -2.2445278517e-01  1.3894533837e+00
v6_L  5.5427895229e-06  8.0850592264e-07
v6(Psi2)  -2.4165573305e-04  4.4773347492e-04
v6(Psi3)  5.1750225132e-05  3.5633126004e-04
rho_6222  -inf  inf
rho_633  inf  inf
chi_6222  -2.5744073843e+00  4.7308162983e+00
chi_633  8.2071089720e-01  5.6488971109e+00
