# type  value  stat. err
v4_L  5.9019487094e-03  2.3212348245e-03
v4(Psi2)  9.2502225614e-03  1.0833185576e-03
rho_422  8.4302340297e-01  1.1843003500e-01
chi_422  1.3808389881e+00  9.8925107098e-02
v5_L  2.3402369497e-03  7.1628583135e-04
v5(Psi23)  2.7278863376e-03  4.2401956453e-04
rho_523  7.5897488666e-01  1.3783739766e-01
chi_523  2.7978532004e+00  3.5334155533e-01
v6_L  8.5696204219e-06  3.0230632632e-06
v6(Psi2)  2.0806305372e-03  5.3999957440e-04
v6(Psi3)  3.0533490450e-04  3.1204927110e-04
rho_6222  6.5160604627e-01  1.8515711793e-01
rho_633  9.5623930513e-02  9.8350910580e-02
chi_6222  3.1907525054e+00  7.4079456332e-01
chi_633  8.1292952243e-01  8.1639306465e-01
