#correlator  value  value_err
4(24)  1.17966e+00  7.29926e-02
6(23)  -4.22050e-01  2.06062e-01
6(26)  1.16871e+00  2.80161e-01
6(36)  1.29580e-01  1.78338e-01
(235)  6.24855e-01  8.49632e-02
(246)  7.80207e-01  1.28346e-01
(234)  -5.45540e-01  1.43850e-01
