#correlator  value  value_err
4(24)  8.73599e-01  1.10937e-01
6(23)  1.81401e-01  1.48558e-01
6(26)  5.99821e-01  2.51792e-01
6(36)  6.09423e-01  1.60929e-01
(235)  6.01284e-01  7.01898e-02
(246)  5.47771e-01  1.58649e-01
(234)  -1.54459e-02  7.64584e-02
