# type  value  stat. err
v4_L  7.4293244423e-03  2.3234055238e-03
v4(Psi2)  8.5473748814e-03  1.4731723048e-03
rho_422  7.5474434544e-01  1.4747622908e-01
chi_422  1.0428623173e+00  9.2764604170e-02
v5_L  3.2872327367e-03  9.0396515504e-04
v5(Psi23)  3.5798996916e-03  5.4478480827e-04
rho_523  7.3657398893e-01  1.3210529438e-01
chi_523  1.8520645919e+00  2.0605721772e-01
v6_L  1.6080837500e-05  5.1256118330e-06
v6(Psi2)  1.4857057775e-03  9.5701732533e-04
v6(Psi3)  1.0720956068e-03  4.8045560920e-04
rho_6222  4.0303242189e-01  2.6364710323e-01
rho_633  2.9083099456e-01  1.3448513038e-01
chi_6222  1.6045543713e+00  9.5810637377e-01
chi_633  1.0567827441e+00  4.5792042710e-01
