# type  value  stat. err
v4_L  6.1969519542e-03  1.9058056098e-03
v4(Psi2)  7.0092736971e-03  1.2193080399e-03
rho_422  7.4918533398e-01  1.4782346486e-01
chi_422  1.1660003170e+00  1.1130754693e-01
v5_L  2.6938088091e-03  7.8793198050e-04
v5(Psi23)  2.9561585403e-03  4.9242736376e-04
rho_523  7.3914406468e-01  1.4231909955e-01
chi_523  2.1355968072e+00  2.7955736784e-01
v6_L  1.1583896665e-05  3.8407349149e-06
v6(Psi2)  1.3318071601e-03  8.5038614546e-04
v6(Psi3)  9.1269971775e-04  3.7908400593e-04
rho_6222  4.2189699171e-01  2.7448846037e-01
rho_633  2.8912989567e-01  1.2539350789e-01
chi_6222  2.2913718830e+00  1.3571880929e+00
chi_633  1.2993418893e+00  5.1929452682e-01
