# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -8.1102612598e-01  1.3354403766e+02  1.2287692426e-01  2.4122758889e+01
SC_42  -8.1134430646e-01  1.3356285952e+02  1.2263838695e-01  2.4091281890e+01
