# cen dN/deta(ch)  v3{2} v3{2}_err
2.5 4.05933e+02 1.34617e-02 8.14618e-04
7.5 3.28355e+02 1.54477e-02 1.06595e-03
15 2.52250e+02 1.75223e-02 7.70563e-04
25 1.77275e+02 1.94455e-02 8.50586e-04
35 1.25632e+02 2.12082e-02 7.83480e-04
45 8.30558e+01 2.52225e-02 9.22010e-04
55 5.06000e+01 2.37760e-02 9.62547e-04
65 2.80046e+01 2.68650e-02 1.25254e-03
75 1.37659e+01 3.06806e-02 1.33019e-03
85 6.26423e+00 3.39741e-02 1.57789e-03
95 2.03502e+00 1.62230e-02 8.67421e-04
