# cen dN/deta(ch)  v4{2} v4{2}_err
2.5 8.49366e+02 1.18438e-02 6.25833e-04
7.5 6.90161e+02 1.28710e-02 6.92679e-04
15 5.32719e+02 1.45465e-02 5.88685e-04
25 3.74569e+02 1.69533e-02 7.45348e-04
35 2.65412e+02 1.80430e-02 8.85551e-04
45 1.74725e+02 2.05615e-02 9.12537e-04
55 1.06253e+02 2.20567e-02 1.02391e-03
65 5.96344e+01 2.62799e-02 1.11758e-03
75 2.97916e+01 2.72913e-02 1.47362e-03
85 1.39976e+01 3.13313e-02 1.61398e-03
95 5.03905e+00 2.39833e-02 1.89729e-03
