# cen dN/dy dN/dy_err(Lambda, Lambdabar, Xi^-, Xibar^+, Omega, Omegabar, phi)
2.5 8.52075e+00 5.04815e-02 3.34211e+00 2.57386e-02 1.54957e+00 1.02071e-02 7.86078e-01 6.74877e-03 2.17937e-01 2.03961e-03 1.48822e-01 1.65496e-03 0.00000e+00 0.00000e+00
7.5 6.99509e+00 4.81178e-02 2.79539e+00 2.04219e-02 1.26024e+00 8.92420e-03 6.55002e-01 5.27576e-03 1.78547e-01 1.65613e-03 1.24183e-01 1.40842e-03 0.00000e+00 0.00000e+00
15 5.44933e+00 3.86970e-02 2.29441e+00 1.53390e-02 9.84224e-01 7.07482e-03 5.30729e-01 3.82032e-03 1.44174e-01 1.09405e-03 1.03163e-01 9.55081e-04 0.00000e+00 0.00000e+00
25 3.93007e+00 3.30712e-02 1.73468e+00 1.28097e-02 7.04225e-01 5.76232e-03 3.96864e-01 2.93600e-03 1.04215e-01 8.54293e-04 7.91725e-02 6.26797e-04 0.00000e+00 0.00000e+00
35 2.84303e+00 2.47714e-02 1.34090e+00 9.86345e-03 5.05290e-01 3.98479e-03 3.06247e-01 2.21222e-03 7.99136e-02 6.10276e-04 6.13303e-02 5.43873e-04 0.00000e+00 0.00000e+00
45 1.92605e+00 1.83618e-02 9.94224e-01 9.44544e-03 3.43984e-01 3.16979e-03 2.24205e-01 2.16225e-03 5.61928e-02 5.20284e-04 4.60363e-02 4.55131e-04 0.00000e+00 0.00000e+00
55 1.20506e+00 1.46029e-02 6.84184e-01 7.54265e-03 2.14504e-01 2.38875e-03 1.52353e-01 1.61683e-03 3.74559e-02 3.89602e-04 3.19487e-02 3.49139e-04 0.00000e+00 0.00000e+00
65 6.96386e-01 9.65998e-03 4.26999e-01 5.33916e-03 1.24181e-01 1.52960e-03 9.41188e-02 1.15338e-03 2.30637e-02 2.79689e-04 2.03194e-02 2.47818e-04 0.00000e+00 0.00000e+00
75 3.56340e-01 5.63160e-03 2.40314e-01 3.72487e-03 6.45431e-02 9.40917e-04 5.23814e-02 8.06411e-04 1.25749e-02 1.77294e-04 1.16033e-02 1.72038e-04 0.00000e+00 0.00000e+00
85 1.68672e-01 3.29104e-03 1.20021e-01 2.46783e-03 3.07113e-02 5.56403e-04 2.60625e-02 5.29033e-04 6.19632e-03 1.17094e-04 5.77870e-03 1.11519e-04 0.00000e+00 0.00000e+00
95 5.71957e-02 1.86494e-03 4.34449e-02 1.51667e-03 1.06366e-02 3.45254e-04 9.43447e-03 3.26399e-04 2.24192e-03 7.45183e-05 2.13931e-03 7.19236e-05 0.00000e+00 0.00000e+00
