# cen dN/deta(ch)  v3{2} v3{2}_err
2.5 4.05933e+02 1.26143e-02 7.64276e-04
7.5 3.28355e+02 1.44716e-02 9.91720e-04
15 2.52250e+02 1.64088e-02 7.20811e-04
25 1.77275e+02 1.82233e-02 8.00551e-04
35 1.25632e+02 1.98806e-02 7.35421e-04
45 8.30558e+01 2.35942e-02 8.65764e-04
55 5.06000e+01 2.22616e-02 9.04924e-04
65 2.80046e+01 2.52156e-02 1.19405e-03
75 1.37659e+01 2.88931e-02 1.26416e-03
85 6.26423e+00 3.21178e-02 1.50292e-03
95 2.03502e+00 1.52953e-02 8.24666e-04
