# type  value  stat. err
v4_L  8.4903322577e-03  5.4736935829e-04
v4(Psi2)  1.9276227462e-03  7.4253286494e-04
rho_422  2.2140285903e-01  8.6258045229e-02
chi_422  6.6057909902e-01  2.5027906683e-01
v5_L  3.4081838502e-03  3.4292820956e-04
v5(Psi23)  1.4484228039e-03  3.3541003689e-04
rho_523  3.9112798446e-01  9.5512782344e-02
chi_523  1.4283698130e+00  2.7726249491e-01
v6_L  7.6779346661e-06  1.0158844077e-06
v6(Psi2)  -1.0414502724e-04  2.6059022384e-04
v6(Psi3)  1.0117912461e-03  2.5892102680e-04
rho_6222  -5.4896867482e-02  1.3755902939e-01
rho_633  5.3333482573e-01  1.5406369409e-01
chi_6222  -5.3215608500e-01  1.3304690884e+00
chi_633  1.6294724121e+00  2.8836792158e-01
