# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  6.4841270032e-01  1.2798459806e-01  6.3864714990e-01  1.2915647744e-01
2  8.3387948628e-01  3.1046336251e-02  4.2388584162e-01  4.2591686004e-02
3  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
