#correlator  value  value_err
4(24)  2.51089e-01  9.42446e-02
6(23)  -2.24937e-01  2.55425e-01
6(26)  -6.34548e-02  1.49079e-01
6(36)  5.97993e-01  1.99275e-01
(235)  3.44670e-01  6.99565e-02
(246)  3.29648e-01  7.74170e-02
(234)  5.45568e-02  1.90033e-01
