# type  value  stat. err
v4_L  8.6924465005e-04  1.5665410651e-03
v4(Psi2)  2.3256448529e-03  4.1089893053e-04
rho_422  9.3670895757e-01  2.2163208726e-01
chi_422  1.3358448332e+00  1.7326495188e-01
v5_L  nan  nan
v5(Psi23)  1.5164339177e-04  2.8776281692e-04
rho_523  nan  nan
chi_523  8.1020122011e-01  1.5348495676e+00
v6_L  5.2944066445e-06  6.7363836799e-07
v6(Psi2)  1.1505441024e-04  2.3402003035e-04
v6(Psi3)  -2.9389758533e-04  2.3047285269e-04
rho_6222  inf  inf
rho_633  -inf  inf
chi_6222  1.3306152591e+00  2.6959320436e+00
chi_633  -4.9592479277e+00  3.7876741980e+00
