# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  2.5257831311e-03  1.7225391481e-03  2.5645766629e-03  1.7724582805e-03
SC_42  2.5267438826e-03  1.7231782480e-03  2.5655528802e-03  1.7731172351e-03
