# type  value  stat. err
v4_L  1.6908797172e-03  1.8235289175e-03
v4(Psi2)  3.7561141471e-03  5.8720710404e-04
rho_422  9.1186441145e-01  1.8365769976e-01
chi_422  1.0988447654e+00  1.1716745870e-01
v5_L  1.4896249872e-03  5.0047192595e-04
v5(Psi23)  4.0012577528e-04  3.5229103425e-04
rho_523  2.5941298439e-01  2.4194749659e-01
chi_523  1.0774416349e+00  9.4177435418e-01
v6_L  1.0988701271e-05  1.4311218701e-06
v6(Psi2)  4.8376095067e-05  3.0411875160e-04
v6(Psi3)  -2.0261049902e-04  3.0188838523e-04
rho_6222  5.5730779065e-02  3.5353237909e-01
rho_633  -2.3341365072e-01  4.0024227516e-01
chi_6222  2.0831224793e-01  1.3091147708e+00
chi_633  -1.6813098000e+00  2.4847248671e+00
