# type  value  stat. err
v4_L  5.7129974231e-04  1.6601913878e-03
v4(Psi2)  1.9362389416e-03  3.4779873300e-04
rho_422  9.5912140394e-01  2.3321469175e-01
chi_422  1.5788833655e+00  2.1474713775e-01
v5_L  4.8105873393e-04  7.0919538519e-04
v5(Psi23)  1.2743027744e-04  2.8589994202e-04
rho_523  2.5606381885e-01  6.7309820930e-01
chi_523  9.7764917008e-01  2.1906906805e+00
v6_L  3.9501383085e-06  6.5351784039e-07
v6(Psi2)  9.4387145062e-05  2.1661443082e-04
v6(Psi3)  -3.9588182447e-04  2.2407900260e-04
rho_6222  inf  inf
rho_633  -inf  inf
chi_6222  1.8519947404e+00  4.2377047874e+00
chi_633  -9.8425796936e+00  5.2852176732e+00
