# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  2.8943317663e-03  5.6346703573e-04  -7.0176748903e-11  5.4647895092e-11
2  1.8396608265e-02  2.0964906070e-03  -1.1453838165e-07  5.2211502863e-08
3  6.4201864763e-03  1.9292981736e-03  -1.6989890110e-09  2.0422188097e-09
