# type  value  stat. err
v4_L  8.1130901389e-03  5.3253522467e-04
v4(Psi2)  1.9316041967e-03  7.4965490322e-04
rho_422  2.3161100330e-01  9.0904451860e-02
chi_422  1.0802801403e+00  4.0996466354e-01
v5_L  1.7594946896e-03  4.6479822753e-04
v5(Psi23)  1.3273138291e-03  3.1097130440e-04
rho_523  6.0223151571e-01  1.6603912544e-01
chi_523  2.0177135600e+00  4.3910785355e-01
v6_L  8.2578057748e-06  8.2549940487e-07
v6(Psi2)  -3.4576390926e-05  2.9201859907e-04
v6(Psi3)  4.3138749086e-04  2.1542677615e-04
rho_6222  -inf  inf
rho_633  inf  inf
chi_6222  -3.5051637388e-01  2.9600268448e+00
chi_633  1.0382780185e+00  5.0808843364e-01
