# type  value  stat. err
v4_L  4.5171225489e-03  3.4665934518e-04
v4(Psi2)  1.2798071913e-03  4.3581844887e-04
rho_422  2.7259385812e-01  9.4574830566e-02
chi_422  1.5622848623e+00  5.1740537070e-01
v5_L  3.7707405108e-04  6.9951308838e-04
v5(Psi23)  6.1809700619e-04  1.6940362870e-04
rho_523  8.5368219373e-01  4.5844075027e-01
chi_523  2.3130324372e+00  6.0500182591e-01
v6_L  4.2462728628e-06  4.2431328323e-07
v6(Psi2)  1.3538668584e-04  1.7630770365e-04
v6(Psi3)  4.5914194517e-05  1.3703870927e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  4.4611351704e+00  5.7853807897e+00
chi_633  3.0028590146e-01  8.9574732020e-01
