# type  value  stat. err
v4_L  3.6532252256e-03  1.2419193983e-03
v4(Psi2)  2.0236534728e-03  6.7238186727e-04
rho_422  4.8456006381e-01  2.0094917475e-01
chi_422  1.7477115617e+00  5.4889415958e-01
v5_L  2.3812426157e-03  2.4010479531e-03
v5(Psi23)  2.5310651014e-03  1.7219191582e-03
rho_523  7.2833444591e-01  5.4344083125e-01
chi_523  1.2617736114e+01  7.8315462648e+00
v6_L  1.3773797495e-05  3.8928267154e-06
v6(Psi2)  3.3296925541e-04  4.8622318206e-04
v6(Psi3)  1.0014607145e-03  4.9869278320e-04
rho_6222  2.3551629057e-01  3.6422608769e-01
rho_633  7.0835462673e-01  5.0450629908e-01
chi_6222  6.7550724741e+00  9.8213434188e+00
chi_633  1.0529740717e+01  3.9454243385e+00
