#correlator  value  value_err
4(24)  5.83024e-01  1.85417e-01
6(23)  1.60097e+00  1.28545e+00
6(26)  4.52461e-01  3.29242e-01
6(36)  7.57672e-01  2.59513e-01
(235)  6.99885e-01  3.32011e-01
(246)  5.98700e-01  3.38316e-01
(234)  2.62332e+00  2.06436e+00
