# type  value  stat. err
v4_L  1.5094352545e-03  4.6776300500e-04
v4(Psi2)  7.9792405625e-04  2.7234271486e-04
rho_422  4.6734381499e-01  1.9246584191e-01
chi_422  2.0058198016e+00  6.5049921939e-01
v5_L  9.5892882536e-04  7.4025015568e-04
v5(Psi23)  9.2693388432e-04  4.8393731199e-04
rho_523  6.9501021796e-01  4.2174621845e-01
chi_523  1.6203085030e+01  7.3915805524e+00
v6_L  4.9449399598e-06  8.4064907755e-07
v6(Psi2)  -3.4705232206e-05  1.8657186250e-04
v6(Psi3)  2.9120916074e-04  2.9429920269e-04
rho_6222  -inf  inf
rho_633  inf  inf
chi_6222  -3.3225604269e+00  1.7856165126e+01
chi_633  1.2663781459e+01  1.1851699006e+01
