# type  value  stat. err
v4_L  2.5515614016e-03  3.4225816494e-04
v4(Psi2)  1.7114865392e-03  2.6900049134e-04
rho_422  5.5705169661e-01  9.7894651204e-02
chi_422  4.5175811395e-01  6.1914568381e-02
v5_L  2.5295023238e-03  2.6957654927e-04
v5(Psi23)  -1.1946002850e-03  3.0852927009e-04
rho_523  -4.2703935682e-01  1.1464879296e-01
chi_523  -2.5795332208e+00  6.3583270022e-01
v6_L  8.4821107277e-06  8.1707892883e-07
v6(Psi2)  -4.4582244630e-04  2.7431014525e-04
v6(Psi3)  -4.6364136553e-04  2.0318284785e-04
rho_6222  -2.6863926438e-01  1.6945824751e-01
rho_633  -2.7937641186e-01  1.2844556600e-01
chi_6222  -1.5018777299e+00  9.0119840147e-01
chi_633  -5.0788483818e+00  2.1410702743e+00
