# type  value  stat. err
v4_L  4.9597630721e-03  4.7989815225e-04
v4(Psi2)  2.4871519680e-03  4.6517821701e-04
rho_422  4.4826157340e-01  8.9142626548e-02
chi_422  3.2011309589e-01  5.2033073845e-02
v5_L  5.6082723520e-03  4.9194218289e-04
v5(Psi23)  -2.2844113654e-03  7.4550379721e-04
rho_523  -3.7723452339e-01  1.2511673747e-01
chi_523  -2.3586600653e+00  7.3698103337e-01
v6_L  2.6778110045e-05  3.0142067051e-06
v6(Psi2)  -5.3210593582e-04  6.5282557437e-04
v6(Psi3)  -1.0160851708e-03  4.3014421462e-04
rho_6222  -1.3465831716e-01  1.6568735737e-01
rho_633  -2.5713736680e-01  1.1147780478e-01
chi_6222  -5.8235220727e-01  7.0720282188e-01
chi_633  -4.9941965710e+00  2.0218685820e+00
