# type  value  stat. err
v4_L  5.4877642398e-03  5.0514744418e-04
v4(Psi2)  -7.1594342192e-04  5.7712000946e-04
rho_422  -1.2936549446e-01  1.0492193064e-01
chi_422  -7.0711773532e+00  5.6107797355e+00
v5_L  2.3190394539e-03  5.2181736883e-04
v5(Psi23)  -1.2631365384e-03  6.2686126067e-04
rho_523  -4.7832844304e-01  2.4554041489e-01
chi_523  -1.5725363821e+01  7.0052941735e+00
v6_L  1.2248325114e-05  1.4758006123e-06
v6(Psi2)  5.4594755627e-05  2.5496583336e-04
v6(Psi3)  5.9980270845e-05  1.6799165730e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  4.1006678523e+01  1.9127420558e+02
chi_633  4.4566460418e-01  1.2465087403e+00
