#correlator  value  value_err
4(24)  -1.84956e-01  1.19186e-01
6(23)  5.95486e-01  3.36507e-01
6(26)  -1.13074e-01  2.66023e-01
6(36)  4.01751e-02  1.32542e-01
(235)  -2.02329e-01  7.09536e-02
(246)  3.39649e-02  6.61564e-02
(234)  5.41322e-02  9.87835e-02
