# cen dN/deta(ch)  v4{2} v4{2}_err
2.5 3.91641e+02 6.86815e-03 3.99803e-04
7.5 3.16432e+02 8.37051e-03 4.16232e-04
15 2.42854e+02 9.71926e-03 3.63904e-04
25 1.71005e+02 1.08898e-02 4.23474e-04
35 1.14878e+02 1.28299e-02 6.31110e-04
45 7.38505e+01 1.60603e-02 7.81790e-04
55 4.38751e+01 1.65495e-02 8.17713e-04
65 2.38793e+01 1.97704e-02 1.07986e-03
75 1.19868e+01 2.18762e-02 1.09475e-03
85 5.24608e+00 2.70089e-02 1.55925e-03
95 1.94476e+00 1.96281e-02 1.52412e-03
