# cen dN/deta(ch)  dN/deta(ch)_err  dN/dy dN/dy_err(pi^+, pi^-, K^+, K^-, p, pbar)
2.5 3.91641e+02 2.51173e+00 1.74396e+02 1.12786e+00 1.84899e+02 1.20220e+00 3.39337e+01 2.14792e-01 2.73018e+01 1.76911e-01 3.34469e+01 2.59045e-01 1.11043e+01 8.97126e-02
7.5 3.16432e+02 1.83177e+00 1.40506e+02 8.34876e-01 1.49213e+02 8.82708e-01 2.74774e+01 1.64417e-01 2.19970e+01 1.31256e-01 2.78888e+01 2.16719e-01 9.17311e+00 7.45554e-02
15 2.42854e+02 1.75565e+00 1.07710e+02 7.94139e-01 1.14135e+02 8.35262e-01 2.10035e+01 1.54445e-01 1.69332e+01 1.27494e-01 2.16869e+01 1.55031e-01 7.54521e+00 5.69606e-02
25 1.71005e+02 1.36703e+00 7.56355e+01 6.13344e-01 8.00270e+01 6.45925e-01 1.47162e+01 1.21162e-01 1.19392e+01 9.93347e-02 1.56804e+01 1.33524e-01 5.80133e+00 5.15560e-02
35 1.14878e+02 9.20482e-01 5.06909e+01 4.16566e-01 5.34635e+01 4.42387e-01 9.79860e+00 8.20121e-02 8.04607e+00 6.72647e-02 1.08041e+01 1.00352e-01 4.33868e+00 3.73412e-02
45 7.38505e+01 7.25232e-01 3.24891e+01 3.21199e-01 3.41264e+01 3.40620e-01 6.23109e+00 6.33027e-02 5.18217e+00 5.21617e-02 7.13221e+00 8.64313e-02 3.12290e+00 3.25802e-02
55 4.38751e+01 5.38179e-01 1.91584e+01 2.36700e-01 2.00124e+01 2.50921e-01 3.62188e+00 4.67161e-02 3.06533e+00 3.83441e-02 4.39127e+00 6.73553e-02 2.12512e+00 2.58055e-02
65 2.38793e+01 3.21149e-01 1.03787e+01 1.42121e-01 1.07727e+01 1.49674e-01 1.93670e+00 2.77028e-02 1.66459e+00 2.29967e-02 2.48796e+00 4.10284e-02 1.30006e+00 1.65993e-02
75 1.19868e+01 1.85904e-01 5.17169e+00 8.14131e-02 5.31998e+00 8.45661e-02 9.41362e-01 1.55105e-02 8.30788e-01 1.35422e-02 1.27282e+00 2.50329e-02 7.53304e-01 1.19988e-02
85 5.24608e+00 9.76994e-02 2.23375e+00 4.25528e-02 2.28358e+00 4.36948e-02 3.96508e-01 7.92372e-03 3.55873e-01 7.22546e-03 5.80307e-01 1.32744e-02 3.72216e-01 7.47623e-03
95 1.94476e+00 5.25874e-02 8.37000e-01 2.19698e-02 8.48397e-01 2.23503e-02 1.44016e-01 3.85935e-03 1.32124e-01 3.71991e-03 2.20323e-01 6.96543e-03 1.54335e-01 4.64901e-03
