# cen dN/deta(ch)  v2{2} v2{2}_err
2.5 3.91641e+02 3.15070e-02 1.50510e-03
7.5 3.16432e+02 4.77879e-02 2.07256e-03
15 2.42854e+02 6.43838e-02 1.99181e-03
25 1.71005e+02 8.45177e-02 2.25396e-03
35 1.14878e+02 9.99826e-02 2.93461e-03
45 7.38505e+01 1.11053e-01 3.34125e-03
55 4.38751e+01 1.07495e-01 3.68415e-03
65 2.38793e+01 1.16520e-01 4.15899e-03
75 1.19868e+01 1.24266e-01 5.08481e-03
85 5.24608e+00 1.37255e-01 4.93508e-03
95 1.94476e+00 9.83929e-02 5.84244e-03
