# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  4.5308718340e-03  4.3496369606e-01  8.4776342248e-03  8.1385288558e-01
2  7.2365661403e-01  6.9549339316e-02  5.5907594994e-01  7.7737410583e-02
3  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
