# type  value  stat. err
v4_L  9.3430952535e-03  5.2551925649e-04
v4(Psi2)  1.4821059135e-03  7.1269369589e-04
rho_422  1.5667215742e-01  7.5804502786e-02
chi_422  6.4555218641e-01  3.0555146013e-01
v5_L  4.6830329043e-03  4.4085992585e-04
v5(Psi23)  1.3824037031e-03  5.2806365725e-04
rho_523  2.8311640147e-01  1.1055215314e-01
chi_523  1.8131434716e+00  6.7526597172e-01
v6_L  1.0163420466e-05  1.4501205400e-06
v6(Psi2)  1.1676093055e-04  2.5099611342e-04
v6(Psi3)  5.2780143858e-04  4.0478675152e-04
rho_6222  4.5325118487e-02  9.7578819329e-02
rho_633  2.0488585205e-01  1.5896477381e-01
chi_6222  8.0159090964e-01  1.7202017414e+00
chi_633  1.1007380027e+00  8.2854439050e-01
