# type  value  stat. err
v4_L  1.3212475078e-03  1.6261739654e-03
v4(Psi2)  2.9596980982e-03  4.9472529205e-04
rho_422  9.1314319813e-01  2.0488278785e-01
chi_422  1.7705578406e+00  2.4431939151e-01
v5_L  7.1668860357e-04  5.3378277723e-04
v5(Psi23)  4.0879796723e-04  3.1860804963e-04
rho_523  4.9546415992e-01  4.6653115470e-01
chi_523  1.4315964386e+00  1.1042391869e+00
v6_L  5.3569140818e-06  1.2582379602e-06
v6(Psi2)  4.2270077680e-04  3.3855646639e-04
v6(Psi3)  -2.3192050270e-04  3.3410739974e-04
rho_6222  7.8001588724e-01  1.3225352503e+00
rho_633  -4.2796627451e-01  8.8834323964e-01
chi_6222  5.5997995569e+00  4.4225907928e+00
chi_633  -2.6170554325e+00  3.7466350731e+00
